Title,Authors,First Publish Year,Title Length,Num Authors
Wuthering Heights,Emily Brontë,0.7978142076502737,0.41666666666666663,0.0
The Great Gatsby,F. Scott Fitzgerald,1.0,0.375,0.0
Ethan Frome,Edith Wharton,0.9726775956284159,0.16666666666666669,0.0
Romeo and Juliet,William Shakespeare,0.11748633879781423,0.375,0.0
Anna Karenina,Лев Толстой,0.8797814207650276,0.25,0.0
πολιτεία,Πλάτων,0.0,0.041666666666666685,0.0
Le Comte de Monte Cristo,Alexandre Dumas,0.7540983606557381,0.7083333333333334,0.0
Sonnets,William Shakespeare,0.15027322404371635,0.0,0.0
As You Like It,William Shakespeare,0.4918032786885247,0.29166666666666663,0.0
The Importance of Being Earnest,Oscar Wilde,0.9262295081967213,0.9999999999999999,0.0
